Task,Filename,Type,NIQE,BRISQUE,Entropy,LOE,Sharpness,Gradient
LowLight_CLAHE,img_79.PNG,low_light,,,2.669119119644165,649.5458,,
LowLight_CLAHE,img_80.PNG,low_light,,,1.7805521488189697,114.944,,
LowLight_CLAHE,img_81.PNG,low_light,,,1.7980401515960693,132.711,,
LowLight_CLAHE,img_82.PNG,low_light,,,2.3582684993743896,181.4917,,
LowLight_CLAHE,img_83.PNG,low_light,,,2.144230365753174,154.7752,,
LowLight_CLAHE,img_84.PNG,low_light,,,2.0305588245391846,177.6572,,
LowLight_CLAHE,img_85.PNG,low_light,,,3.2539196014404297,258.0019,,
LowLight_CLAHE,img_86.PNG,low_light,,,3.550833225250244,250.9693,,
LowLight_CLAHE,img_87.PNG,low_light,,,3.635737895965576,278.3499,,
LowLight_CLAHE,img_88.PNG,low_light,,,2.9733211994171143,254.1846,,
LowLight_CLAHE,img_89.PNG,low_light,,,1.7322038412094116,110.5012,,
LowLight_CLAHE,img_90.PNG,low_light,,,1.4243218898773193,123.3309,,
LowLight_CLAHE,img_91.PNG,low_light,,,1.763892412185669,126.1018,,
LowLight_CLAHE,img_92.PNG,low_light,,,1.5863670110702515,130.5526,,
LowLight_CLAHE,img_93.PNG,low_light,,,3.0780653953552246,204.2084,,
LowLight_CLAHE,img_94.PNG,low_light,,,2.7657551765441895,131.4563,,
LowLight_CLAHE,img_95.PNG,low_light,,,2.8992748260498047,263.2109,,
LowLight_CLAHE,img_96.PNG,low_light,,,3.304138660430908,279.3586,,
LowLight_CLAHE,img_97.PNG,low_light,,,3.080718517303467,341.0247,,
LowLight_CLAHE,img_98.PNG,low_light,,,2.666841506958008,157.6645,,
LowLight_CLAHE,img_99.PNG,low_light,,,2.9383702278137207,198.5844,,
LowLight_CLAHE,img_100.PNG,low_light,,,2.406968832015991,142.469,,
LowLight_CLAHE,img_101.PNG,low_light,,,3.1920077800750732,302.3248,,
LowLight_CLAHE,img_102.PNG,low_light,,,2.950444459915161,270.1112,,
LowLight_CLAHE,img_103.PNG,low_light,,,3.0366132259368896,269.1309,,
LowLight_CLAHE,img_104.PNG,low_light,,,2.745065450668335,306.0499,,
LowLight_CLAHE,img_105.PNG,low_light,,,3.2524383068084717,239.0001,,
LowLight_CLAHE,img_106.PNG,low_light,,,3.0488669872283936,281.0155,,
