Task,Filename,NIQE,BRISQUE,MANIQA,Entropy,Tenengrad,LOE
LowLight_CLAHE,img_1.PNG,9.914172009130228,97.52008056640625,0.2563365399837494,2.4702704,248.37095984607853,192.7728
LowLight_CLAHE,img_2.PNG,6.9082041356817925,86.92486572265625,0.23431245982646942,2.6418662,845.5806209228457,266.5173
LowLight_CLAHE,img_3.PNG,7.441672368029151,78.90716552734375,0.25567683577537537,3.8066423,466.8255392248015,264.2314
LowLight_CLAHE,img_4.PNG,6.90654488697355,71.4501953125,0.2745991051197052,3.790337,732.3013903277915,326.0697
LowLight_CLAHE,img_5.PNG,6.94984285414121,80.7142333984375,0.2499881386756897,3.4247181,1052.3468318210626,353.2358
LowLight_CLAHE,img_6.PNG,6.820008465136882,83.58013916015625,0.24335572123527527,3.1779723,818.250520851122,280.6377
LowLight_CLAHE,img_7.PNG,7.370229483665882,71.76580810546875,0.28311407566070557,3.6702597,781.2202779643608,256.769
LowLight_CLAHE,img_8.PNG,7.856610136406369,68.30487060546875,0.2737167775630951,3.810555,751.7918176723805,283.6715
LowLight_CLAHE,img_9.PNG,6.582769150056827,70.20574951171875,0.2680610716342926,4.2565684,839.7576318762152,326.3027
LowLight_CLAHE,img_10.PNG,6.021124760400205,50.08465576171875,0.2125367969274521,5.4534407,974.3967905198139,450.0746
LowLight_CLAHE,img_11.PNG,6.133108673495108,72.28826904296875,0.23094594478607178,4.017906,752.9024784544099,430.6496
LowLight_CLAHE,img_12.PNG,8.761173070135758,53.49407958984375,0.30211642384529114,3.0182724,1736.8107327587843,244.0424
LowLight_CLAHE,img_13.PNG,8.61987656204046,86.91796875,0.23791766166687012,3.0177975,562.0318658424127,288.7216
LowLight_CLAHE,img_14.PNG,7.551041577655264,90.81591796875,0.2408609241247177,2.3875022,553.4014582566446,181.178
LowLight_CLAHE,img_15.PNG,6.4584040697182665,62.94329833984375,0.23305709660053253,4.5424867,1109.3264430453883,258.6539
LowLight_CLAHE,img_16.PNG,6.454601518030146,62.64154052734375,0.24711260199546814,4.4499106,1413.6474479876235,271.6469
LowLight_CLAHE,img_17.PNG,7.770504225706546,86.45257568359375,0.2496580332517624,3.505091,617.5982318258693,251.2712
LowLight_CLAHE,img_18.PNG,6.5622889950123,73.79913330078125,0.26140859723091125,3.8277853,1054.7229046731761,279.9295
LowLight_CLAHE,img_19.PNG,7.180691622671539,73.57928466796875,0.2340274304151535,3.9436297,824.4694199989121,251.0021
LowLight_CLAHE,img_20.PNG,7.829685413367998,70.97760009765625,0.26529431343078613,4.2009187,460.5654729151092,371.7606
LowLight_CLAHE,img_21.PNG,10.432174707414331,107.54351806640625,0.2967093884944916,0.73142684,273.25898349594513,296.3643
LowLight_CLAHE,img_22.PNG,9.985066585881848,106.96478271484375,0.29029586911201477,0.93524814,345.86419921748995,353.4164
LowLight_CLAHE,img_23.PNG,6.325621271278324,78.3577880859375,0.24729704856872559,3.3022532,725.2868659499351,214.5777
LowLight_CLAHE,img_24.PNG,7.095527933080345,83.25592041015625,0.26564639806747437,3.1906374,602.1366660215323,285.6181
LowLight_CLAHE,img_25.PNG,8.621693729100942,93.44342041015625,0.2662120759487152,2.477757,227.85411614695403,287.4706
LowLight_CLAHE,img_26.PNG,10.361818230291169,109.61370849609375,0.27792292833328247,1.5212755,179.41148946343796,180.9432
LowLight_CLAHE,img_27.PNG,8.719641746103825,101.685791015625,0.28910958766937256,1.8135597,234.52456633688917,194.926
LowLight_CLAHE,img_28.PNG,7.469356212554429,100.4796142578125,0.2709527313709259,1.4142249,433.41512625026405,177.7554
LowLight_CLAHE,img_29.PNG,7.437735435851373,88.5645751953125,0.2780967354774475,2.3337824,592.1008762442555,124.9818
LowLight_CLAHE,img_30.PNG,9.995762248355868,103.93194580078125,0.2640441656112671,2.1389563,99.96323113646109,202.8356
LowLight_CLAHE,img_31.PNG,10.893259677893186,105.88458251953125,0.25744298100471497,1.9337996,107.75204956655826,197.8855
LowLight_CLAHE,img_32.PNG,7.339464863729613,89.83685302734375,0.2606673538684845,3.2773063,699.8219796011045,191.769
LowLight_CLAHE,img_33.PNG,8.13776067672711,90.18402099609375,0.262960821390152,2.981065,687.4203518385697,156.6146
LowLight_CLAHE,img_34.PNG,9.534330946515718,101.13525390625,0.27653175592422485,2.013674,136.5856896549543,221.1546
LowLight_CLAHE,img_35.PNG,10.582319883855561,106.3626708984375,0.27841055393218994,1.6827549,127.07262694915961,251.137
LowLight_CLAHE,img_36.PNG,9.362062467981065,103.09722900390625,0.31415313482284546,0.9179423,402.7107078388884,83.8054
LowLight_CLAHE,img_37.PNG,9.08507315989719,100.42803955078125,0.25950825214385986,1.5681119,447.1910837371748,120.5836
LowLight_CLAHE,img_38.PNG,8.757090646659288,94.76214599609375,0.23628699779510498,2.3284364,512.9670209845763,201.6256
LowLight_CLAHE,img_39.PNG,8.638440251971653,97.1385498046875,0.2538812458515167,2.4756086,258.8253178551686,171.2657
LowLight_CLAHE,img_40.PNG,8.681595580641151,100.26910400390625,0.24250073730945587,2.178124,255.0234373517614,171.3111
LowLight_CLAHE,img_41.PNG,8.494996864925474,103.63360595703125,0.2701481878757477,2.038205,274.2432320978378,141.511
LowLight_CLAHE,img_42.PNG,8.681489858474242,105.06866455078125,0.2776663601398468,1.9202132,255.82801223984325,123.1459
LowLight_CLAHE,img_43.PNG,8.1946724070448,103.79022216796875,0.26216045022010803,2.064946,294.92858109655134,131.3168
LowLight_CLAHE,img_44.PNG,7.8945125702886525,105.07611083984375,0.2738566994667053,1.9974259,329.47341856696687,161.3863
LowLight_CLAHE,img_45.PNG,8.187153926744628,103.29949951171875,0.25920775532722473,2.1520872,343.4713870262215,203.5153
LowLight_CLAHE,img_46.PNG,8.794712624908554,95.89068603515625,0.2457817792892456,2.6320102,372.8338753726916,259.2858
LowLight_CLAHE,img_47.PNG,7.295655652861095,89.01031494140625,0.25382280349731445,3.2816677,553.3060643894689,189.4569
LowLight_CLAHE,img_48.PNG,8.2100688652236,86.70684814453125,0.2497897744178772,3.065293,553.6334523669474,220.0574
LowLight_CLAHE,img_49.PNG,8.793330503079675,101.70147705078125,0.2834647595882416,2.042286,207.98325939587593,84.9845
LowLight_CLAHE,img_50.PNG,8.554236969806006,106.6126708984375,0.2866843044757843,1.6554737,255.48722191230473,180.401
LowLight_CLAHE,img_51.PNG,7.823060721936769,95.36566162109375,0.26131483912467957,2.9127994,730.6640494451212,256.8116
LowLight_CLAHE,img_52.PNG,8.25405963670923,100.3162841796875,0.25820907950401306,2.4143715,247.9041785731905,150.8562
LowLight_CLAHE,img_53.PNG,7.109771978481621,80.81097412109375,0.21019457280635834,2.6651638,1095.9442894857013,238.3291
LowLight_CLAHE,img_54.PNG,8.972196809157158,101.80621337890625,0.23797915875911713,1.9057502,224.60322086491013,209.4946
LowLight_CLAHE,img_55.PNG,6.200563534874459,42.74847412109375,0.2384081482887268,3.9015756,670.7287716009325,390.2684
LowLight_CLAHE,img_56.PNG,7.809456231669002,94.49664306640625,0.26741522550582886,2.9451,384.142866901192,443.9203
LowLight_CLAHE,img_57.PNG,9.438295055997878,107.443115234375,0.2844666540622711,2.3685663,396.2318334591978,795.5543
LowLight_CLAHE,img_58.PNG,8.815627018462115,115.92730712890625,0.2763618230819702,1.1883203,412.5926103021632,627.4846
LowLight_CLAHE,img_59.PNG,8.706533870148931,113.11614990234375,0.24246171116828918,1.0194513,535.8491587321465,1075.2706
LowLight_CLAHE,img_60.PNG,9.523174712990068,104.56390380859375,0.26075029373168945,0.72954357,578.2859703516489,1160.1605
LowLight_CLAHE,img_61.PNG,5.982929209734589,90.2154541015625,0.26304593682289124,2.7434082,518.0256143639798,489.6803
LowLight_CLAHE,img_62.PNG,5.250307773213421,61.88165283203125,0.2593291103839874,3.9174027,839.9202234441826,282.8877
LowLight_CLAHE,img_63.PNG,5.340103928188265,37.37445068359375,0.27553004026412964,4.382138,945.2464033759502,379.872
LowLight_CLAHE,img_64.PNG,7.498205925359994,64.62213134765625,0.2762196958065033,3.7853177,304.0819763374837,655.7865
LowLight_CLAHE,img_65.PNG,9.91426794178664,101.63067626953125,0.2735779583454132,2.7379844,192.8278591785542,423.2497
LowLight_CLAHE,img_66.PNG,10.142246995788904,109.74346923828125,0.26160240173339844,2.3097281,279.98276352789827,737.9387
LowLight_CLAHE,img_67.PNG,6.088417361682352,84.42681884765625,0.30698254704475403,2.00327,1321.280427256041,645.3933
LowLight_CLAHE,img_68.PNG,6.332638113734506,70.535400390625,0.249217227101326,3.981103,1357.9596411535003,440.0095
LowLight_CLAHE,img_69.PNG,5.891304709226049,74.61962890625,0.25849923491477966,3.8057687,1060.6859258247284,532.3309
LowLight_CLAHE,img_70.PNG,6.925805918594809,68.03240966796875,0.27741551399230957,4.097497,627.0467823607617,432.622
LowLight_CLAHE,img_71.PNG,10.51273371139214,121.94830322265625,0.27702778577804565,1.8485878,119.46888871179318,692.827
LowLight_CLAHE,img_72.PNG,10.644075227381675,115.07763671875,0.25605618953704834,1.6404204,125.0801003879661,341.5159
